field_season,species,date_collected,plot,sex,weight_g,scale_calibrated
2013,DM,20130716,2,F,NA,yes
2013,DM,20130716,7,M,33,yes
2013,DM,20130716,3,M,NA,yes
2013,DM,20130716,1,M,NA,yes
2013,DM,20130716,3,M,40,yes
2013,DM,20130716,7,M,48,yes
2013,DM,20130716,4,F,29,yes
2013,DM,20130716,6,F,37,yes
2013,DO,20130819,8,F,52,yes
2013,DO,20131017,3,F,33,yes
2013,DO,20131017,3,F,50,yes
2013,DO,20131210,9,F,40,yes
2013,DO,20131210,1,M,45,yes
2013,DO,20131211,8,F,41,yes
2013,DS,20131112,9,F,117,yes
2013,DS,20131113,11,F,126,yes
2013,DS,20131113,17,M,132,no
2013,DS,20131113,14,F,113,no
2013,DS,20131113,11,F,122,yes
2013,DS,20131113,4,F,107,yes
2013,DS,20131113,4,F,115,yes
2014,DM,20140109,1,M,40,yes
2014,DM,20140109,1,F,36,yes
2014,DM,20140313,1,F,51,yes
2014,DM,20140313,1,F,44,yes
2014,DS,20140313,1,F,146,yes
2014,NA,20140108,2,NA,NA,NA
2014,DM,20140108,2,M,44,yes
2014,PF,20140108,2,F,7,yes
2014,DM,20140108,2,M,45,yes
2014,OT,20140108,2,NA,NA,NA
2014,DS,20140108,2,M,157,no
2014,OX,20140108,2,NA,NA,NA
2014,NA,20140218,2,M,218,no
2014,PF,20140218,2,F,7,yes
2014,DM,20140218,2,M,52,yes
2014,PF,20140311,3,M,8,yes
2014,NA,20140408,3,F,NA,NA
2014,NA,20140506,3,NA,NA,NA
2014,NA,20140518,3,F,182,yes
2014,OT,20140609,3,F,29,yes
2014,NA,20140708,3,F,115,yes
2014,NA,20140708,3,M,190,yes
1978,DM,19780108,4,F,37,yes
1978,DM,19780108,4,M,NA,yes
1978,DM,19780108,4,F,48,yes
1978,DO,19780108,4,M,52,yes
1978,OL,19780108,4,M,35,yes
,,,,,,
